date,code,open,high,low,close,change,volume
2026/09/04,2383,5390,5515,5255,5415,125,1701788
2026/09/04,6770,69.3,70,67,68.5,0.7,85248242
2026/09/04,TX,46406,46756,46057,46704,885,50177
2026/09/07,2308,1845,1885,1825,1850,25,7560958
2026/09/07,2330,2435,2460,2430,2460,50,26898329
2026/09/07,2368,1090,1145,1060,1120,75,8130245
2026/09/07,2383,5550,5580,5280,5495,80,1515921
2026/09/07,6770,70,73.5,69.3,72.9,4.4,242829617
2026/09/07,TX,47280,47572,47093,47470,761,43189
2026/09/08,2308,1860,1860,1795,1805,-45,6331851
2026/09/08,2330,2465,2505,2460,2470,10,28931697
2026/09/08,2368,1100,1115,1070,1075,-45,4987962
2026/09/08,2383,5500,5550,5315,5340,-155,1474956
2026/09/08,6770,73.2,75.3,71.9,72.4,-0.5,172801850
2026/09/08,TX,47480,47593,46934,46980,-482,44455
2026/09/09,2308,1780,1855,1780,1795,-10,8307925
2026/09/09,2330,2480,2490,2460,2465,-5,17798845
2026/09/09,2368,1100,1145,1095,1100,25,5814207
2026/09/09,2383,5350,5645,5350,5375,35,1752002
2026/09/09,6770,72.8,74.3,71.4,72.4,0,114261094
2026/09/09,TX,47076,47592,47054,47187,232,49381
